id;title;description
71;"Michigan judge investigated for alleged DUI hit-and-run";"The Michigan State Police are investigating the involvement of 39th District Court Judge Catherine Steenland, 51, in a suspected DUI hit-and-run crash that occurred in Roseville."
72;"Ryder Cup captain Furyk hoping United States can overcome ´25 years of scars´";"The last time the United States won the biennial contest on European soil was in 1993."
73;"Somerset fantasist jailed for impersonating vets again";"Patrick Keniry, 59, has no qualifications to perform the role but used the identity of a registered vet to secure a job in Taunton, Somerset."
74;"Pregnant Ferne McCann refuses to be labelled 'single mum'";"Ferne McCann is focusing on her pregnancy as she prepares to become a mother for the first time, insisting she is insisted she feels 'stronger' than ever in light of everything that has happened."
75;"Truck driver pleads guilty in deadly Texas migrants case";"An American who drove an unventilated truck packed with undocumented migrants across the US-Mexico border, resulting in 10 deaths, will be sentenced in..."
76;"Google to offer stepped-up security for 'high risk' users";"Google said Tuesday it would offer stronger online security for ""high risk"" users who may be frequent targets of online attacks.The US technology titan said..."
77;"Scarlett Moffatt is still dating boyfriend Luke Crodden";"Scarlett Moffatt has confirmed  that she is still in romantic bliss with Luke Crodden in a gushing new interview, calling her beau her 'best friend.'"
78;"Boy frozen when soldier father returned from Syria";"The little boy who froze with emotion when his soldier father returned home had forgotten what he looked like and even asked a stranger 'Are you my daddy?', his mother has revealed."
79;"Burglars drove over Naval officer after Chorlton break-in";"Ryan Gibbons, 29, also admitted aggravated vehicle taking over Mike Samwell's Audi S3 car, which was taken from outside his house in south Manchester earlier this year."
80;"The cures of yesteryear including cocaine for toothache";"These and many more weird and wacky remedies have been outlined in a new book, Quackery: A Brief History Of The Worst Ways To Cure Everything, written by a Nebraska doctor."
81;"Prosecutors say Massachusetts man was Islamic State plotter";"By Scott MaloneBOSTON, Oct 17 (Reuters) - Federal prosecutors on Tuesday  said a Massachusetts man accused of plotting to attack police  and behead a..."
82;"Jess Cunningham reveals childrens' pain over dad's death";"Jessica Cunningham told Loose Women she had never seen her children cry the way they currently are over the loss of their father. Alistair Eccles was found dead in August in Burnley at the age of 35."
83;"Kylie Jenner shares first glimpse of 'growing bump'";"The reality star, 20, shared a clip of that gave a glimpse of what appears to be her expanding torso. Kylie's cleavage even appeared noticeably large as she wore a grey sports bra."
84;"Lionel Messi's kids train with Barcelona";"There are already a number of sons of famous players plying their trade around the football world. It makes complete sense that Barcelona would look to add Lionel Messi's children to the list."
85;"Passenger says Delta crew stopped her from singing anthem";"A Georgia physician says Delta crew members stopped her from singing the national anthem aboard a plane that was carrying the body of a fallen Green Beret on Saturday."
86;"Chris Froome expects tricky all-round test in 2018 Tour de France";"The route for next year´s Tour de France was unveiled on Tuesday."
87;"Chelsea v Roma talking points";"Chelsea have won two from two in the Champions League this season but have suffered back-to-back Premier League defeats."
88;"Michael Fassbender and Alicia Vikander's green wedding";"The showbiz power couple, who have yet to confirm they married, tied the knot at Agroturismo Can Marti, an eco-hotel in Ibiza, Spain. 'All the food they ate was local cuisine,' a source told The Sun."
89;"Man United manager Jose Mourinho hits out at Dejan Lovren";"Jose Mourinho has hit back at Dejan Lovren after the Liverpool defender accused Romelu Lukaku of deliberately kicking him in the face during Manchester United's goalless draw at Anfield."
90;"Ashley Graham attends Golden Heart Awards in New York City";"Stars flocked to the 11th Annual Golden Heart Awards benefiting God's Love We Deliver in New York City this Monday. Ashley Graham flattered her figure in a flowing leaf-patterned split skirt."
91;"Airbus takes control of Bombardier CSeries in rebuff to U.S. threat";"By Allison Lampert and Tim HepherMONTREAL/TOULOUSE, France, Oct 17 (Reuters) - Airbus  has agreed to take a majority stake in Bombardier's  troubled CSeries..."
92;"Barca boss Valverde still revered in mad house of Olympiakos";"By Richard MartinBARCELONA, Oct 17 (Reuters) - Ernesto Valverde was seen as an unglamorous choice as Barcelona coach in place of Luis Enrique yet in winning..."
93;"FOREX-Dollar bolstered by potential Fed nominee";"By Gertrude Chavez-DreyfussNEW YORK, Oct 17 (Reuters) - The dollar rose to a one-week  high against a basket of currencies on Tuesday on speculation  that..."
94;"Kurds abandon territory in the face of Iraq government advance";"By Ahmed Rasheed and Mustafa MahmoudBAGHDAD/KIRKUK, Oct 17 (Reuters) - The Baghdad government  recaptured territory from Kurds across the breadth of northern..."
95;"The Latest: Medics say 25 Kurds killed in Kirkuk fighting";"KIRKUK, Iraq (AP) - The Latest on developments in Iraq, day after Iraqi forces took back the disputed city of Kirkuk, forcing Kurdish fighters to leave (all..."
96;"Securities officials probing S. Carolina nuke plant fiasco";"COLUMBIA, S.C. (AP) - Securities regulators are investigating the failure of a nuclear reactor construction project in South Carolina, according to a release..."
97;"Trump issues warning to McCain after senator's tough speech";"WASHINGTON (AP) - President Donald Trump on Tuesday issued a warning shot after Republican Sen. John McCain questioned ""half-baked, spurious nationalism"" in..."
98;"Greek officials say Athens coast clean-up nearly finished";"ATHENS, Greece (AP) - Greek authorities say they have finished cleaning up a section of Athens coastline polluted by a large oil slick more than a month ago,..."
99;"Texas man rescued after stuck in manhole for six days";"Jason Courtney, 40, of Houston, was rescued from a 15-foot-deep manhole (pictured) after being stuck for six days. He suffered a broken foot and underwent surgery Monday."
100;"PM meets Juncker: Brexit talks to `accelerate´ but little sign of progress shown";"Following a working dinner in Brussels the pair said their meeting had been ""constructive and friendly""."
101;"Trauma Cleaner Sandra Pankhurst reveals shocking photos";"Mounds of rotting food and toilets overflowing with faeces - just some of the confronting scenes Melbourn's 'trauma cleaner' Sandra Pankhurst has been met with."
102;"Charity worker 'stabbed to death over iPhone'";"The family of a charity worker who was murdered for his iPhone have told of their agony after he was 'stabbed through the heart' last night by two moped-riding thugs  in Little Venice, London."
103;"Oklahoma man denies raping his stepdaughter 'wife'";"Henry Piette (pictured in court in Oklahoma on Thursday)  faces child abuse and rape charges for holding Rosalynn McGinnis captive in Mexico for 19 years until she escaped last year."
104;"Bodyform advert is first to show blood on sanitary towel";"The advert begins with blood being poured onto the sanitary towel to show its 'ultra-absorbing core.' The sanitary towel brand was the first in the UK to feature red blood in a campaign last year."
105;"U.S. policy on Iran has little impact on oil industry -minister";"LONDON, Oct 17 (Reuters) - U.S. President Donald Trump's  decision not to certify an international nuclear deal with  Tehran has little implication for the..."
106;"FCC chairman rejects Trump suggestion on broadcast licenses";"WASHINGTON, Oct 17 (Reuters) - The chairman of the Federal  Communications Commission said Tuesday the agency does not have  authority to revoke broadcast..."
107;"Qatar Gulf Cup boycott is over Kuwait's FIFA ban, UAE FA says";"By Alexander CornwellDUBAI, Oct 17 (Reuters) - A Qatar-hosted soccer tournament for Arab nations should not go ahead unless Kuwait's FIFA ban is lifted, the..."
108;"Volvo unveils Polestar model in China, looks to rival Tesla 3";"By Adam JourdanSHANGHAI, Oct 17 (Reuters) - Volvo Cars and its Chinese  parent have unveiled their first Polestar high performance  electric car and pledged..."
109;"GRAINS-U.S. soy falls again as weather improves; wheat weak";"By Mark WeinraubCHICAGO, Oct 17 (Reuters) - U.S. soybean futures fell for  the second day in a row on Tuesday, pressured by improving  weather for harvest in..."
110;"EMERGING MARKETS-Brazil stocks fall on political woes; Embraer drops";"By Bruno Federowski      SAO PAULO, Oct 17 (Reuters) - Brazilian stocks fell on  Tuesday as lawmakers debated whether to put President Michel  Temer on trial..."
111;"Harness ""natural enemies"" to fight pests and protect crops - World Food Prize winner";"By Alex WhitingROME, Oct 17 (Thomson Reuters Foundation) - African farmers  can lose up to half their harvest to pests, so storing their  crops in..."
112;"Model who pulled off £1.2m property scam down to last £375";"Laylah De Cruz, 32, who got her mother Dianne Moorcroft, 63, to pose as a 91-year-old millionaire to pull off an 'audacious' £1.2million property scam has only £375 left, a court heard."
113;"Authorities seeks answers from Air Berlin over tower flyby";"BERLIN (AP) - German air safety officials say they've asked bankrupt carrier Air Berlin to explain why one of its pilots aborted his landing at Duesseldorf..."
114;"The Latest: NTSB says Benadryl impaired balloon operator";"AUSTIN, Texas (AP) - The Latest on a federal investigation into a 2016 Texas hot air balloon crash that killed 16 people, the worst disaster of its kind in..."
115;"UnitedHealth beats 3Q forecasts, helped by Optum growth";"UnitedHealth Group's third-quarter earnings soared 26 percent to beat Wall Street expectations as the nation's largest health insurer sold more coverage to..."
116;"911 calls show Irma chaos as nursing home residents died";"In the calls, employees of the Rehabilitation Center in Hollywood, Florida, can be heard struggling to remember its phone number, describing symptoms and relaying information."
117;"Self-driving cars could ease traffic, but increase sprawl";"BOSTON (AP) - A new study inspired by Boston's early experiments with self-driving cars finds that the technology could ease congestion, but might also lead..."
118;"Man who stabbed refugee and cut off his penis convicted of murder";"The murder took place hours after Barry, who has paranoid schizophrenia, was released from a psychiatric hospital."
119;"Brexit standoff over EU's demands for bigger divorce bill";"The Foreign Secretary vowed defiance as tensions rose again despite the PM's attempt to win support from Jean-Claude Juncker over dinner last night."
120;"Irish rugby stars arrive at court to face rape claims";"Paddy Jackson, 25, and Stuart Olding, 24, are accused of raping the same woman at a property in south Belfast, during June last year. Both men deny all charges against them."
121;"Man is hit by a big window which falls from a Moscow flat";"These are the amazing scenes as a man escaped relatively unscathed after he was struck on the head by the large pane of glass in Moscow which went on to hit the baby's pram who escaped without injury."
122;"Plymouth wife 'threw kettle of water over husband's lover";"Monika Fourie threw scolding water from a cup and a kettle over love rival Hannah Stokes after walking in on her and her Royal Marine husband Wouter, at their marital home in Plymouth, Devon."
123;"'Yes' campaign soars in the gay marriage polls";"The campaign in favour of gay marriage has surged in the polls, leaving the 'No' camp leaving three in every four remaining votes to win the survey."
124;"Man claims fellow passenger urinated on him on United jet";"Daniel Card claimed a fellow passenger exposed himself and began urinating on the United Airlines flight as it prepared to take off from Los Angeles International Airport, pictured."
125;"Newcastle fans hope Mike Ashley sale can help progress";"It was announced on Monday evening that the billionaire businessman wants a sale before Christmas as he prepares to end his controversial decade-long stay on Tyneside."
126;"Laura Dern poses with her two kids and mother Diane Ladd";"The leggy wonder was seen in a very rare image with her mother, acting legend Diane Ladd, 81, as well as the two children she had with singer Ben Harper."
127;"Brittany Packnett reveals how to put on your bra";"Activist and writer Brittany Packnett alerted her Twitter followers after reading a label on a new bra from San Francisco based ThirdLove that indicated the correct way to don a bra."
128;"Roman Polanski's rape victim Samantha Geimer forgives him";"Samantha Geimer, now 54, said her rape at the hands of Roman Polanski in 1977 'did not affect me greatly' and she feels more traumatized by the ongoing court case against him."
129;"'Yes' vote clearly ahead in same-sex marriage plebiscite";"Although the result won't be officially announced until November 15, a 'snap poll' by Roy Morgan revealed that 61.5 per cent of Aussies have voted Yes in the same-sex marriage plebiscite."
130;"Green and clean but is your electric car free of slavery?";"By Belinda GoldsmithLONDON, Oct 17 (Thomson Reuters Foundation) - Electric  vehicles are often labelled the ""green cars"" of the future but  rising demand for..."
131;"China's CEFC eyes big league with Rosneft oil offtake deal";"By Chen Aizhu and Olga YagovaBEIJING/MOSCOW, Oct 17 (Reuters) - As part of its recent  $9.1 billion investment in Russian oil giant Rosneft,  little-known..."
132;"Leicester sack manager Shakespeare - reports";"LONDON, Oct 17 (Reuters) - Leicester City manager Craig Shakespeare was sacked on Tuesday four months after he was put in permanent charge of the Premier..."
133;"CANADA STOCKS-TSX advances as Bombardier leaps on Airbus deal, financials rise";"TORONTO, Oct 17 (Reuters) - Canada's main stock index rose  on Tuesday, led by a more than 20 percent surge in Bombardier  Inc shares and higher financial..."
134;"Queen Letizia of Spain stuns in a floral chiffon frock";"The Spanish queen consort, 45, channelled autumnal chic in a green chiffon dress paired with berry suede shoes as she met with representatives from medical and agricultural organisations."
135;"Man poses with deer for Instagram snaps in London";"Witnesses said the man appeared to be 'trying to get photos for Instagram' as he posed with a herd of up to 50 deer at Richmond Park, London, during the animals' volatile rutting season."
136;"Britain reports hate crimes spike after Brexit vote, attacks";"LONDON (AP) - U.K. authorities say hate crimes spiked after Britain's vote to leave the European Union and following several extremist attacks this year,..."
137;"12 Turkish police officers wounded in bombing";"ANKARA, Turkey (AP) - A bomb exploded as a bus carrying police was passing by in a southern Turkish city on Tuesday, wounding a dozen officers, officials..."
138;"Oops! Actor Bill Pullman accepts, then breaks film award";"KINGSTON, N.Y. (AP) - Bill Pullman is a bit of a klutz when it comes to holding onto a film award.The ""Independence Day"" actor was the recipient of the..."
139;"TOWIE's Tommy Mallett films scenes with Georgia Kousoulou";"The 25-year-old grinned as he chatted away to girlfriend Georgia Kousoulou during lunch at a health food cafe in Brentwood, Essex, with their co-stars."
140;"6 killed in Turkey coal mine collapse";"ANKARA, Turkey (AP) - A coal mine collapsed in southeast Turkey on Tuesday, killing at least six miners. Rescuers were trying to reach one other mine worker..."
141;"Chris Froome claims Velo d'Or after Tour de France victory";"Froome enjoyed a spectacular year, becoming the third man to complete the Tour-Vuelta double in the same season, after Jacques Anquetil in 1963 and Bernard Hinault in 1978."
142;"Gigi Hadid attends All I See Is You screening in NYC";"Hello sunshine! Gigi Hadid dazzles in midriff-revealing yellow dress at screening of new Blake Lively film All I See Is You in NYC on Monday one week after paying tribute to baby sister Bella"
143;"David Walliams receives an OBE amid row with Matt Lucas";"Walliams starred in BAFTA nominated series Little Britain, is a judge on Britain's Got Talent, has released 10 children's books and in 2011 raised more than £2 million for Sports Relief."
144;"ISIS execution site in Raqqa is captured by US-led forces";"US-backed militias in Syria say the jihadists' stronghold of Raqqa has  been liberated after a bloody four-month battle and the city is now being searched for land mines and ISIS sleeper cells."
145;"Filming of Empire put juvenile jail on lockdown for days";"Fox is being sued by inmates at the Cook County Juvenile Temporary Detention Center in Chicago over issues that happened when they filmed Empire in the summer of 2015."
146;"UN-backed Libya talks hit new snag";"Talks between representatives of rival authorities in strife-torn Libya have hit a new snag after a parliamentary delegation suspended its participation in..."
147;"Genes that cause OCD identified by scientists";"The findings confirm suspicions that the  condition – suffered by David Beckham – is genetic, found a study by The Broad Institute in Cambridge, Massachusetts, in the US."
148;"Duchess of Cambridge expecting third child in April";"In a statement released today, the Palace revealed that the Duke and Duchess of Cambridge are 'delighted' to be expecting their third child in April next year."
149;"Neil DeGrasse Tyson says Jack should have tried to survive";"Could Jack have survived in the Titanic? A question that has been discussed on and off since the movie's release in 1997."
150;"Land Rover almost runs down pedestrian in Canberra";"Dashcam footage has captured the incredible moment a car drives up onto a footpath in Canberra, narrowly missing a cyclist before re-entering traffic at high speed."
151;"Ex-soccer star ""King George"" nears goal of Liberia presidency";"By Edward McAllisterMONROVIA, Oct 17 (Reuters) - George Weah has been here  before: on the goal line of the Liberian presidency, one run-off  vote from..."
152;"Nigeria looks to food exports to boost FX income after oil shock";"By Chijioke OhuochaABUJA, Oct 17 (Reuters) - Nigeria is looking to boost  agricultural exports to earn more hard currency, and aims to cut  imports of rice..."
153;"Middlesex relegated after losing appeal against points deduction";"Oct 17 (Reuters) - Middlesex will be relegated from the County Championship First Division after losing their appeal against a points deduction in a match,..."
154;"Storm Ophelia washes up killer jellyfish on UK beaches";"Lethal Portuguese man o' war with 12ft-long tentacles have been appearing in Devon, Hampshire and Dorset as well as on 31 separate beaches along the coast of Wales."
155;"Disorderly Brexit risks crippling UK economy OECD warns";"The Organisation for Economic Co-operation and Development (OECD) warned that leaving the bloc without a deal is a threat to the economy."
156;"Storm Ophelia victims from Ireland identified";"Families paid tribute to road traffic victims Clare O'Neill (pictured) and Fintan Goss, 33, as well as 31-year-old Michael Pyke, who died in a horrific chainsaw accident in Co Tipperary."
157;"Barcelona have Napoli's Kalidou Koulibaly on their radar";"The Nou Camp club are keen on improving their defence during the January transfer window and Koulibaly is regarded as one of their priority targets, according to Mundo Deportivo ."
158;"Austria's Kurz would join growing lineup of young leaders";"Austrian Foreign Minister Sebastian Kurz is set to become Europe's youngest leader after his right-wing party won a general election Sunday. Kurz turned 31..."
